v,m,t
[1.90748539e-06 6.95729175e-06 3.73782588e-05 1.03232754e-05],[-0.00138112 -0.00263767 -0.00611378  0.00321299],1
[3.80664446e-06 1.37819009e-05 7.39023650e-05 2.03742208e-05],[-0.00262801 -0.00499958 -0.01157676  0.00607825],2
[5.69728230e-06 2.04766026e-05 1.09585307e-04 3.01506417e-05],[-0.00375399 -0.00711353 -0.01645415  0.00862956],3
[7.57951261e-06 2.70423952e-05 1.44435922e-04 3.96630468e-05],[-0.00477114 -0.00900421 -0.02080427  0.01089932],4
[9.45313793e-06 3.34779746e-05 1.78460370e-04 4.89120241e-05],[-0.00569024 -0.01069338 -0.02467941  0.01291513],5
[1.13192038e-05 3.97878137e-05 2.11674046e-04 5.79016638e-05],[-0.00652143 -0.01220176 -0.02812741  0.01470238],6
[1.31771941e-05 4.59723127e-05 2.44082982e-04 6.66346595e-05],[-0.00727328 -0.0135472  -0.03119052  0.0162837 ],7
[1.50265932e-05 5.20324510e-05 2.75697141e-04 7.51150575e-05],[-0.00795349 -0.01474588 -0.03390713  0.01767969],8
[1.68678253e-05 5.79692062e-05 3.06527703e-04 8.33455325e-05],[-0.00856935 -0.01581237 -0.0363119   0.01890865],9
[1.87006850e-05 6.37846775e-05 3.36581899e-04 9.13307471e-05],[-0.00912717 -0.01676    -0.03843566  0.01998741],10
[2.05265411e-05 6.94809346e-05 3.65875854e-04 9.90733392e-05],[-0.00963321 -0.01760076 -0.04030697  0.02093076],11
[2.23445479e-05 7.50583505e-05 3.94412822e-04 1.06578546e-04],[-0.0100923  -0.01834513 -0.0419504   0.02175247],12
[2.41548108e-05 8.05162040e-05 4.22201192e-04 1.13849591e-04],[-0.01050915 -0.01900229 -0.04338852  0.02246458],13
[2.59577515e-05 8.58576681e-05 4.49260499e-04 1.20890320e-04],[-0.01088809 -0.0195813  -0.04464264  0.02307805],14
[2.77525170e-05 9.10853116e-05 4.75593868e-04 1.27703912e-04],[-0.01123258 -0.0200902  -0.04573049  0.02360265],15
[2.95395316e-05 9.61973009e-05 5.01211895e-04 1.34295400e-04],[-0.01154618 -0.02053532 -0.0466687   0.02404747],16
[3.13185782e-05 1.01195666e-04 5.26121429e-04 1.40668497e-04],[-0.01183185 -0.02092317 -0.0474719   0.0244205 ],17
[3.30897604e-05 1.06084567e-04 5.50338976e-04 1.46824435e-04],[-0.0120924  -0.02126002 -0.04815414  0.02472848],18
[3.48541444e-05 1.10862712e-04 5.73873561e-04 1.52768741e-04],[-0.01233067 -0.02155042 -0.04872742  0.02497823],19
[3.66108603e-05 1.15532069e-04 5.96732958e-04 1.58505035e-04],[-0.01254855 -0.02179912 -0.0492024   0.02517558],20
[3.83593624e-05 1.20095640e-04 6.18931991e-04 1.64037493e-04],[-0.01274787 -0.02201063 -0.04958936  0.02532589],21
[4.00997537e-05 1.24552673e-04 6.40475870e-04 1.69370233e-04],[-0.01293047 -0.02218822 -0.04989665  0.02543397],22
[4.18331091e-05 1.28905610e-04 6.61377983e-04 1.74506730e-04],[-0.01309837 -0.02233551 -0.05013258  0.02550404],23
[4.35585487e-05 1.33154240e-04 6.81642294e-04 1.79449852e-04],[-0.01325269 -0.02245518 -0.05030373  0.02553979],24
[4.52771501e-05 1.37302015e-04 7.01289996e-04 1.84203594e-04],[-0.01339514 -0.02255046 -0.05041769  0.02554476],25
[4.69873737e-05 1.41347152e-04 7.20320269e-04 1.88774703e-04],[-0.01352634 -0.02262311 -0.05047917  0.0255227 ],26
[4.86903030e-05 1.45294105e-04 7.38746033e-04 1.93164187e-04],[-0.01364774 -0.02267606 -0.05049376  0.02547587],27
[5.03850493e-05 1.49142631e-04 7.56579999e-04 1.97376970e-04],[-0.01376001 -0.02271094 -0.05046648  0.02540708],28
[5.20723695e-05 1.52896075e-04 7.73831352e-04 2.01415693e-04],[-0.01386427 -0.02273002 -0.05040151  0.02531841],29
[5.37517000e-05 1.56551645e-04 7.90506989e-04 2.05286223e-04],[-0.0139611  -0.02273397 -0.05030241  0.02521241],30
[5.54231386e-05 1.60115193e-04 8.06620324e-04 2.08991081e-04],[-0.01405125 -0.02272532 -0.05017303  0.02509069],31
[5.70857902e-05 1.63585939e-04 8.22179129e-04 2.12532782e-04],[-0.01413504 -0.02270487 -0.05001628  0.02495472],32
[5.87420761e-05 1.66967617e-04 8.37196480e-04 2.15914354e-04],[-0.0142139  -0.02267437 -0.04983535  0.02480593],33
[6.03890951e-05 1.70255970e-04 8.51674601e-04 2.19142916e-04],[-0.01428731 -0.0226336  -0.04963199  0.02464648],34
[6.20286147e-05 1.73457203e-04 8.65630586e-04 2.22219265e-04],[-0.01435638 -0.02258469 -0.04940933  0.024477  ],35
[6.36590617e-05 1.76570529e-04 8.79068626e-04 2.25149800e-04],[-0.01442099 -0.02252801 -0.04916886  0.02429926],36
[6.52808726e-05 1.79598606e-04 8.92001250e-04 2.27935255e-04],[-0.01448169 -0.02246468 -0.0489128   0.02411365],37
[6.68934782e-05 1.82539207e-04 9.04434604e-04 2.30581847e-04],[-0.01453865 -0.02239459 -0.04864249  0.02392173],38
[6.84993252e-05 1.85398355e-04 9.16381943e-04 2.33090739e-04],[-0.01459302 -0.02231951 -0.04835991  0.0237238 ],39
[7.00961520e-05 1.88174762e-04 9.27852226e-04 2.35465541e-04],[-0.01464429 -0.02223939 -0.0480664   0.02352069],40
[7.16837238e-05 1.90870996e-04 9.38853294e-04 2.37710748e-04],[-0.01469265 -0.02215507 -0.04776305  0.02331335],41
[7.32631522e-05 1.93487212e-04 9.49392912e-04 2.39828858e-04],[-0.01473873 -0.02206675 -0.04745084  0.02310221],42
[7.48338577e-05 1.96024519e-04 9.59482696e-04 2.41823278e-04],[-0.01478253 -0.02197483 -0.0471311   0.02288786],43
[7.63949260e-05 1.98486351e-04 9.69132096e-04 2.43695968e-04],[-0.01482395 -0.02188022 -0.04680482  0.02267053],44
[7.79467993e-05 2.00870958e-04 9.78345588e-04 2.45452974e-04],[-0.01486334 -0.02178253 -0.0464723   0.0224514 ],45
[7.94889018e-05 2.03179890e-04 9.87132462e-04 2.47097011e-04],[-0.01490068 -0.02168217 -0.0461344   0.02223075],46
[8.10216771e-05 2.05416963e-04 9.95507560e-04 2.48630306e-04],[-0.01493628 -0.02158008 -0.04579254  0.02200874],47
[8.25452264e-05 2.07582263e-04 1.00347127e-03 2.50055503e-04],[-0.01497032 -0.0214762  -0.04544635  0.02178562],48
[8.40582916e-05 2.09676793e-04 1.01103626e-03 2.51376506e-04],[-0.0150025  -0.02137073 -0.04509691  0.02156194],49
[8.55626822e-05 2.11701550e-04 1.01821030e-03 2.52595833e-04],[-0.01503359 -0.02126381 -0.04474467  0.02133786],50
